ID,Species,LMA,WC,LDMC,EWT
77,Ulmus americana,45.7317,73.7991,26.2009,0.0129
78,Ulmus americana,47.4387,72.5173,27.4827,0.0125
79,Ulmus americana,49.0701,72.9545,27.0455,0.0132
80,Ulmus americana,51.8832,72.7273,27.2727,0.0138
81,Syringa reticulata,23.6173,81.8919,18.1081,0.0107
82,Syringa reticulata,24.2346,79.6407,20.3593,0.0095
83,Syringa reticulata,23.0157,81.6273,18.3727,0.0102
84,Syringa reticulata,22.7618,81.5508,18.4492,0.0101
85,Syringa reticulata,24.7354,80.4211,19.5789,0.0102
86,Syringa reticulata,46.379,76.4808,23.5192,0.0151
87,Syringa reticulata,46.3967,76.673,23.327,0.0153
88,Syringa reticulata,38.835,79.3621,20.6379,0.0149
89,Syringa reticulata,41.0074,79.7131,20.2869,0.0161
90,Syringa reticulata,27.9122,80.315,19.685,0.0114
91,Syringa reticulata,40.3045,77.8689,22.1311,0.0142
92,Syringa reticulata,25.7368,80.6818,19.3182,0.0107
93,Syringa reticulata,25.6281,79.1822,20.8178,0.0097
94,Syringa reticulata,26.1281,79.3872,20.6128,0.0101
95,Syringa reticulata,47.5232,76.7402,23.2598,0.0157
96,Prunus virginiana,94.5445,61.658,38.342,0.0152
97,Prunus virginiana,98.9827,59.4366,40.5634,0.0145
98,Prunus virginiana,92.6848,58.8435,41.1565,0.0133
99,Prunus virginiana,89.0269,62.7168,37.2832,0.015
100,Prunus virginiana,81.1641,63.7255,36.2745,0.0143
101,Prunus virginiana,76.3638,65.1667,34.8333,0.0143
102,Prunus virginiana,94.1471,64.4654,35.5346,0.0171
103,Prunus virginiana,69.9643,65.8703,34.1297,0.0135
104,Prunus virginiana,98.8739,64.2857,35.7143,0.0178
105,Prunus virginiana,71.3377,66.4935,33.5065,0.0142
106,Prunus virginiana,78.2054,66.9565,33.0435,0.0158
107,Prunus virginiana,84.3683,64.5119,35.4881,0.0153
108,Prunus virginiana,85.8205,64.9452,35.0548,0.0159
109,Prunus virginiana,82.7037,65.6134,34.3866,0.0158
110,Prunus virginiana,81.3057,65.0386,34.9614,0.0151
111,Prunus virginiana,58.4462,67.3307,32.6693,0.012
112,Prunus virginiana,73.1502,69.0423,30.9577,0.0163
113,Prunus virginiana,62.9619,69.8361,30.1639,0.0146
114,Prunus virginiana,56.0013,72.314,27.686,0.0146
115,Prunus virginiana,76.0922,62.6594,37.3406,0.0128
116,Acer rubrum,66.9168,61.997,38.003,0.0109
117,Acer rubrum,62.9649,59.4982,40.5018,0.0092
118,Acer rubrum,64.1978,58.5895,41.4105,0.0091
119,Acer rubrum,62.0214,59.2516,40.7484,0.009
120,Acer rubrum,61.6311,59.203,40.797,0.0089
121,Acer rubrum,56.2852,63.2017,36.7983,0.0097
122,Acer rubrum,57.9156,63.9291,36.0709,0.0103
123,Acer rubrum,52.6548,64.4279,35.5721,0.0095
124,Acer rubrum,52.8914,64.0221,35.9779,0.0094
125,Acer rubrum,54.7689,62.5616,37.4384,0.0092
126,Acer rubrum,59.843,62.439,37.561,0.0099
127,Acer rubrum,53.9052,63.4921,36.5079,0.0094
128,Acer rubrum,58.521,61.7761,38.2239,0.0095
129,Acer rubrum,59.0626,60.7914,39.2086,0.0092
130,Acer rubrum,60.1869,62.2517,37.7483,0.0099
131,Acer rubrum,59.0171,64.0127,35.9873,0.0105
132,Acer rubrum,60.0786,63.3562,36.6438,0.0104
133,Acer rubrum,60.4309,63.3952,36.6048,0.0105
134,Acer rubrum,68.7819,58.8859,41.1141,0.0099
135,Acer rubrum,62.4945,64.094,35.906,0.0112
136,Quercus macrocarpa,95.6588,60.2925,39.7075,0.0145
137,Quercus macrocarpa,78.3423,62.0493,37.9507,0.0128
138,Quercus macrocarpa,87.3259,61.2971,38.7029,0.0138
139,Quercus macrocarpa,98.9718,59.0234,40.9766,0.0143
140,Quercus macrocarpa,82.6488,62.2685,37.7315,0.0136
141,Quercus macrocarpa,72.1557,64.557,35.443,0.0131
142,Quercus macrocarpa,76.4318,64.52,35.48,0.0139
143,Quercus macrocarpa,89.7584,62.7995,37.2005,0.0152
144,Quercus macrocarpa,76.6494,62,38,0.0125
145,Quercus macrocarpa,78.6088,61.0022,38.9978,0.0123
146,Quercus macrocarpa,62.4976,65.6051,34.3949,0.0119
147,Quercus macrocarpa,69.261,64.8693,35.1307,0.0128
148,Quercus macrocarpa,57.892,65.5405,34.4595,0.011
149,Quercus macrocarpa,77.735,64.7249,35.2751,0.0143
150,Quercus macrocarpa,60.9246,64.4986,35.5014,0.0111
151,Quercus macrocarpa,70.7384,66.9735,33.0265,0.0143
152,Quercus macrocarpa,52.3312,68.3625,31.6375,0.0113
153,Quercus macrocarpa,54.9039,67.6471,32.3529,0.0115
154,Quercus macrocarpa,59.2836,66.581,33.419,0.0118
155,Quercus macrocarpa,58.8865,66.8213,33.1787,0.0119
156,Ulmus americana,60.0428,70.2041,29.7959,0.0141
157,Ulmus americana,68.5176,67.6966,32.3034,0.0144
158,Ulmus americana,70.5958,68.75,31.25,0.0155
159,Ulmus americana,70.3528,70.0665,29.9335,0.0165
160,Ulmus americana,55.2164,71.5278,28.4722,0.0139
161,Ulmus americana,62.2235,70.7383,29.2617,0.015
162,Ulmus americana,59.0646,72.2307,27.7693,0.0154
163,Ulmus americana,66.8638,71.2707,28.7293,0.0166
164,Ulmus americana,60.9196,69.4175,30.5825,0.0138
165,Ulmus americana,58.6767,71.5221,28.4779,0.0147
166,Ulmus americana,68.9901,69.7266,30.2734,0.0159
167,Ulmus americana,68.9065,72.7273,27.2727,0.0184
168,Ulmus americana,67.8806,71.0562,28.9438,0.0167
169,Ulmus americana,61.3997,72.0524,27.9476,0.0158
170,Ulmus americana,80.0084,68.1913,31.8087,0.0172
171,Ulmus americana,49.9686,76.2458,23.7542,0.016
172,Ulmus americana,47.0362,75.8344,24.1656,0.0148
173,Ulmus americana,52.0382,76.2755,23.7245,0.0167
174,Ulmus americana,54.628,75.3463,24.6537,0.0167
175,Ulmus americana,47.0547,75.1152,24.8848,0.0142
176,Syringa reticulata,51.4045,71.0949,28.9051,0.0126
177,Syringa reticulata,59.835,72.1455,27.8545,0.0155
178,Syringa reticulata,54.6162,71.9731,28.0269,0.014
179,Syringa reticulata,48.4686,74.103,25.897,0.0139
180,Syringa reticulata,51.9256,72.3183,27.6817,0.0136
181,Syringa reticulata,49.5346,73.3447,26.6553,0.0136
182,Syringa reticulata,50.9096,73.822,26.178,0.0144
183,Syringa reticulata,49.878,72.8516,27.1484,0.0134
184,Syringa reticulata,41.5425,74.9367,25.0633,0.0124
185,Syringa reticulata,53.0906,72,28,0.0137
186,Syringa reticulata,58.9008,71.8166,28.1834,0.015
187,Syringa reticulata,51.7229,73.0097,26.9903,0.014
188,Syringa reticulata,57.1306,74.2131,25.7869,0.0164
189,Syringa reticulata,48.6742,72.2393,27.7607,0.0127
190,Syringa reticulata,64.7734,71.6934,28.3066,0.0164
191,Prunus virginiana,93.09,60.453,39.547,0.0142
192,Prunus virginiana,101.615,61.1111,38.8889,0.016
193,Prunus virginiana,100.7403,60.8309,39.1691,0.0156
194,Prunus virginiana,95.0521,62.5641,37.4359,0.0159
195,Prunus virginiana,92.9888,60.6272,39.3728,0.0143
196,Prunus virginiana,102.749,59.2992,40.7008,0.015
197,Prunus virginiana,96.6751,63.2302,36.7698,0.0166
198,Prunus virginiana,102.4842,57.0447,42.9553,0.0136
199,Prunus virginiana,88.0067,60.6695,39.3305,0.0136
200,Prunus virginiana,98.2235,60.372,39.628,0.015
201,Prunus virginiana,110.2602,62.0635,37.9365,0.018
202,Prunus virginiana,100.2095,61.3357,38.6643,0.0159
203,Prunus virginiana,92.5277,64.8313,35.1687,0.0171
204,Prunus virginiana,85.8774,63.0561,36.9439,0.0147
205,Prunus virginiana,97.9631,56.5966,43.4034,0.0128
206,Prunus virginiana,53.0197,73.43,26.57,0.0147
207,Prunus virginiana,66.6948,68.306,31.694,0.0144
208,Prunus virginiana,90.6711,66.9611,33.0389,0.0184
209,Prunus virginiana,62.7625,72.1311,27.8689,0.0162
210,Prunus virginiana,60.8875,67.4632,32.5368,0.0126
211,Acer rubrum,72.8241,59.8338,40.1662,0.0108
